,title,nb_videos,short_desc,url,mean_stars,five_stars,four_stars,three_stars,two_stars,one_star,editor,action,adventure,comedy,drama,fantasy,harem,historical,idols,isekai,magical_girls,mecha,music,mystery,post_apocalyptic,romance,sci_fi,seinen,shojo,shonen,slice_of_life,sports,supernatural,thriller
318,Minami Kamakura High School Girls Cycling Club,13,"Hiromi Maiharu vient de déménager à Kamakura. Pour profiter des magnifiques paysages de la ville, elle décide de se rendre à son nouveau lycée à vélo. Cependant, …",https://www.crunchyroll.com/fr/minami-kamakura-high-school-girls-cycling-club,4.0,5,4,1,0,1,Genco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
319,Mischievous Kiss - The Movie,3,"Kotoko Aihara est une jeune lycéenne de terminale pas très futée. Elle se trouve avec ses amis dans la classe F, réputée pour y accueillir tous les cancres de l'é…",https://www.crunchyroll.com/fr/mischievous-kiss-the-movie,5.0,2,0,0,0,0,GAGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
320,Miss Bernard said.,12,"Sawako Machida se fait appeler « Miss Bernard » et veut passer pour une férue de littérature. En réalité, elle est plutôt paresseuse et ne lit quasiment jamais ! …",https://www.crunchyroll.com/fr/miss-bernard-said,4.5,8,4,2,0,0,Dream Creation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
321,Miss Kobayashi's Dragon Maid,81,Mlle Kobayashi mène une vie ennuyeuse partagée entre son travail au bureau et son minuscule appartement jusqu’au jour où elle sauve la vie d’une dragonne. Se prén…,https://www.crunchyroll.com/fr/miss-kobayashis-dragon-maid,4.5,486,82,14,5,7,ABC Asahi,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
322,Miss KUROITSU from the Monster Development Department,8,"Mademoiselle Kuroitsu travaille au sein du département de recherches des monstres, une organisation secrète cherchant à combattre les super-héros qui protègent le…",https://www.crunchyroll.com/fr/miss-kuroitsu-from-the-monster-development-department,5.0,1,0,0,0,0,ABC Asahi,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
323,Miss Monochrome - The Animation,39,"Miss Monochrome est un androïde qui tient à parvenir sur le devant de la scène. Au fil des épisodes, elle tente de gravir les marches du succès pour devenir l'éga…",https://www.crunchyroll.com/fr/miss-monochrome-the-animation,4.0,17,12,5,5,2,King Record Company Limited,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
324,Mitchiri Neko,13,Les « Mitchiri Neko » ressemblent beaucoup aux chats. Chacun d’entre eux a sa propre personnalité. Ils sont capables de parler et d’imiter les comportements huma…,https://www.crunchyroll.com/fr/mitchiri-neko,4.5,9,2,1,1,0,G-Angle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
325,Mob Psycho 100,27,"Shigeo Kageyama, surnommé Mob, est un lycéen tout ce qu’il y a de plus ordinaire. Pourtant, il possède de puissants pouvoirs psychiques, mais il préfère rester di…",https://www.crunchyroll.com/fr/mob-psycho-100,5.0,526,50,8,6,4,Warner Japan,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
326,Mobile Fighter G Gundam,49,Une grande partie de la population mondiale est partie vivre dans des colonies en orbite autour de la Terre. Pour déterminer qui dirige l'alliance de ces nouveaux…,https://www.crunchyroll.com/fr/mobile-fighter-g-gundam,4.5,11,3,2,0,1,Sunrise,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
327,Mobile Suit Gundam,42,"En l'an 0079 du Siècle Universel, les colonies spatiales du Duché de Zeon revendiquent leur indépendance. Elles attaquent la Fédération Terrienne, fortes d'un nou…",https://www.crunchyroll.com/fr/mobile-suit-gundam,4.5,14,5,0,1,2,Sunrise,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
328,Mobile Suit Gundam 00,50,"An 2307, les énergies fossiles ont été épuisées et l'humanité s'est tournée vers l'énergie solaire grâce à trois ascenseurs orbitaux de 50 000 km permettant de tr…",https://www.crunchyroll.com/fr/mobile-suit-gundam-00,4.5,32,8,4,1,2,Sunrise,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
329,Mobile Suit Gundam Iron-Blooded Orphans,50,"300 ans après un conflit sanguinaire ayant opposé la Terre et Mars, une femme nommée Kudelia se rend sur Terre pour défendre l’indépendance de la ville martienne …",https://www.crunchyroll.com/fr/mobile-suit-gundam-iron-blooded-orphans,4.5,194,30,8,11,12,Anime Consortium Japan Inc.,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
330,Mobile Suit Gundam Seed,48,Ère cosmique 70. La tragédie de la St-Valentin sanglante transforme les tensions qui existent entre la Terre et les PLANT en une guerre totale. Alors que tous pré…,https://www.crunchyroll.com/fr/mobile-suit-gundam-seed,4.0,23,5,5,1,4,Sunrise,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
331,Mobile Suit Gundam Seed Destiny,50,La guerre qui a déchiré la Terre et les PLANT pendant un an et demi s’est achevée après la bataille décisive de Jakin Due. Un traité de paix fut signé et le monde…,https://www.crunchyroll.com/fr/mobile-suit-gundam-seed-destiny,3.0,6,2,4,3,5,Sunrise,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
332,MOBILE SUIT GUNDAM THE ORIGIN Advent of the Red Comet,13,"Voué à quitter la Terre pour coloniser l'espace, l'Homme a construit de gigantesques colonies flottant dans le vide interstellaire. Tout bascule le jour où le duc…",https://www.crunchyroll.com/fr/mobile-suit-gundam-the-origin-advent-of-the-red-comet,4.5,20,4,1,0,1,Sunrise,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
333,Mobile Suit Gundam Unicorn RE:0096,22,"U.C. 0096. Trois ans se sont écoulés depuis la conclusion de la Seconde Guerre contre Neo-Zeon. La Fondation Vist, que l’on soupçonne de manipuler à la fois Anahe…",https://www.crunchyroll.com/fr/mobile-suit-gundam-unicorn-re0096,3.5,15,8,5,4,6,Anime Consortium Japan Inc.,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
334,Mobile Suit Gundam Wing,49,"À l’époque des colonies spatiales, l’Alliance règne sans partage sur la Terre à l’aide de ses Mobile Suits. Après avoir imposé sa loi sur notre vieille planète, e…",https://www.crunchyroll.com/fr/mobile-suit-gundam-wing,4.0,20,8,7,4,2,Sunrise,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
335,Mobile Suit Gundam Wing Endless Waltz,1,Une nouvelle menace pèse sur l’espace. La Fondation Barton est bien décidée à renverser le gouvernement de la Nation de la Sphère Terrestre. Les pilotes de Gundam…,https://www.crunchyroll.com/fr/mobile-suit-gundam-wing-endless-waltz,4.0,6,0,2,0,1,Sunrise,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
336,"Moi, quand je me réincarne en Slime",159,"Satoru, employé de bureau lambda, se fait assassiner par un criminel en pleine rue. Son histoire aurait dû s'arrêter là, mais il se retrouve soudain réincarné dan…",https://www.crunchyroll.com/fr/that-time-i-got-reincarnated-as-a-slime,4.5,1024,100,55,24,18,Kodansha Ltd.,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
337,Mon Histoire,24,"Takeo Gôda est un grand gaillard au cœur tendre ! Pourtant, aucune fille ne veut de lui. Elles lui préfèrent en général son meilleur ami, le séduisant Makoto Suna…",https://www.crunchyroll.com/fr/my-love-story,5.0,400,31,9,2,1,ntv,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
338,Monster Girl Doctor,12,"Dans la ville de Lindworm, où humains et monstres cohabitent, un jeune médecin, Glenn, débute une nouvelle journée de consultations. La tâche est ardue car il doi…",https://www.crunchyroll.com/fr/monster-girl-doctor,3.5,50,41,16,15,17,Bandai Visual,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,Monster Musume no Iru Nichijô,12,"Kimihito Kurusu, un adolescent ordinaire, est choisi par le gouvernement pour faire partie d’un étrange programme d’échange. Il doit accueillir chez lui Miia, une…",https://www.crunchyroll.com/fr/monster-musume-everyday-life-with-monster-girls,4.5,227,53,20,8,21,Toho,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Monster Strike,159,"Ren Homura vient de déménager à Kaminohara, une ville où il a vécu étant enfant. Cependant, ses souvenirs sont plutôt confus. Dans le même temps, un jeu vidéo a é…",https://www.crunchyroll.com/fr/monster-strike,2.5,6,6,2,3,14,Mixi,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,Monster Strike the Movie: Lucifer Dawn of Despair,1,"Oragon est rappelé au Strike World. En effet, celui-ci est attaqué par Lucifer et d’autres anges, eux qui étaient pourtant les alliés de ceux qui avaient renversé…",https://www.crunchyroll.com/fr/monster-strike-the-movie-lucifer-dawn-of-despair,5.0,1,0,0,0,0,NBC Universal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,Moriarty the Patriot,57,"Au 19ème siècle, tandis que la révolution industrielle se poursuit, l’Angleterre étend sa puissance et sa gloire. Cependant, malgré le progrès et le développement…",https://www.crunchyroll.com/fr/moriarty-the-patriot,5.0,1,0,0,0,0,Bandai Visual,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,Mr Love: Queen's Choice,12,"Après le décès de son père, une jeune femme se retrouve à la tête d'une petite société de production et doit travailler dur pour livrer le programme qu'elle réali…",https://www.crunchyroll.com/fr/mr-love-queens-choice,4.5,51,3,5,3,2,MAPPA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
344,Mr. TONEGAWA Middle Management Blues,24,Yukio Tonegawa est au service de l'excentrique patron de la toute puissante société Taiei qui organise des tournois de jeux clandestins et mortels. Travailler ave…,https://www.crunchyroll.com/fr/mr-tonegawa-middle-management-blues,4.5,16,4,1,1,0,ntv,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
345,Ms. Koizumi Loves Ramen Noodles,12,"Koizumi est une nouvelle élève assez peu loquace. On peut même dire qu’elle est presque asociale, tant elle évite les échanges avec ses camarades de classe. Mais …",https://www.crunchyroll.com/fr/ms-koizumi-loves-ramen-noodles,3.5,11,16,11,12,3,CSPG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
346,Ms. Vampire who lives in my neighborhood.,12,"Quand Akari Amano, une jeune fille ordinaire, est sauvée par la jolie vampire Sophie Twilight, c'est le coup de foudre. Cette fascination aboutit rapidement en co…",https://www.crunchyroll.com/fr/ms-vampire-who-lives-in-my-neighborhood,4.5,33,14,5,2,0,Showgate,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
347,Muhyo & Rôji – Bureau d'investigation des affaires du paranormal,35,"Muhyo est un exécuteur, un magicien capable de prononcer des sentences contre les fantômes et de les renvoyer dans leur monde grâce à son livre du code de la magi…",https://www.crunchyroll.com/fr/muhyo-rojis-bureau-of-supernatural-investigation,4.0,10,5,2,1,1,Animax,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
348,Mushishi,22,"Les mushi sont des créatures primitives aux pouvoirs sortant de l'ordinaire, à la frontière entre les êtres vivants et les choses inertes. Leur nature même empêch…",https://www.crunchyroll.com/fr/mushi-shi,5.0,162,13,0,1,1,Aniplex of America,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
349,Mushoku Tensei: Jobless Reincarnation,35,"Un anonyme de 34 ans, célibataire endurci, reclus et au chômage se fait écraser par un camion peu après avoir été chassé de la maison familiale. Quelle ne fut pas…",https://www.crunchyroll.com/fr/mushoku-tensei-jobless-reincarnation,5.0,40,1,0,0,1,Showgate,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
350,Music Girls,12,Hanako Yamadaki a rejoint l'obscur groupe Ongaku Shôjo qui compte déjà onze membres. Leur producteur Ikehashi pense que cette formation de chanteuses a besoin d'u…,https://www.crunchyroll.com/fr/music-girls,3.5,2,1,2,2,0,King Record Company Limited,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
351,Muv-Luv Alternative,12,"Pendant plusieurs décennies, l’humanité a mené une guerre contre les BETA, des envahisseurs extraterrestres, en utilisant des machines de combat humanoïdes appelé…",https://www.crunchyroll.com/fr/muv-luv-alternative,4.0,6,2,1,1,2,Avex,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
352,My Dress-Up Darling,10,"Deux adolescents que tout oppose vont se rapprocher grâce au cosplay ! Wakana Gojo est un garçon solitaire, secrètement passionné de couture. Marin Kitagawa est b…",https://www.crunchyroll.com/fr/my-dress-up-darling,5.0,63,7,2,1,0,Aniplex of America,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
353,My First Girlfriend is a Gal,20,"Jun’ichi « Jun » Hashiba est un lycéen pas très assidu dont la seule préoccupation est de vouloir perdre sa virginité. Poussé par ses amis, il se met à genoux dev…",https://www.crunchyroll.com/fr/my-first-girlfriend-is-a-gal,3.5,78,60,26,23,44,Kadokawa Pictures Inc.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
354,My Hero Academia,64,"Super héros, super pouvoirs… On a tous déjà rêvé secrètement de posséder une qualité hors du commun, de briller ou d’être LA personne la plus puissante de l’unive…",https://www.crunchyroll.com/fr/my-hero-academia,4.5,1313,113,64,24,73,Toho,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
355,My Hero Academia (VF),64,"Super héros, super pouvoirs… On a tous déjà rêvé secrètement de posséder une qualité hors du commun, de briller ou d’être LA personne la plus puissante de l’unive…",https://www.crunchyroll.com/fr/my-hero-academia-dubs,3.5,14,1,2,0,8,Toho,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
356,My Next Life as a Villainess: All Routes Lead to Doom!,25,"Après avoir reçu un coup à la tête, une lycéenne se retrouve dans le monde d'un jeu vidéo, un ""otome game"" (jeu de drague), où elle incarne la riche héritière – e…",https://www.crunchyroll.com/fr/my-next-life-as-a-villainess-all-routes-lead-to-doom,5.0,288,31,11,4,4,asmikace,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
357,My Roommate is a Cat,12,"Subaru Mikazuki est un romancier timide qui lutte pour garder une vie sociale et aller à la rencontre des gens. Par un heureux hasard, il partage son quotidien av…",https://www.crunchyroll.com/fr/my-roommate-is-a-cat,5.0,105,14,3,1,0,NBC Universal,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
358,My Sweet Tyrant,25,Atsuhiro Kagari (alias Akkun) et Non Katagiri (alias Nontan) sont deux amis d'enfance qui sortent ensemble. Mais Akkun a toujours des mots désagréables et durs en…,https://www.crunchyroll.com/fr/my-sweet-tyrant,4.0,25,11,5,2,2,TV TOKYO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
359,Myriad Colors Phantom World,13,"Dans le futur, un groupe d’adolescents a la capacité de combattre des créatures surnaturelles. Surnommées Phantoms, ces dernières apparaissent parfois dans notre …",https://www.crunchyroll.com/fr/myriad-colors-phantom-world,4.0,56,35,19,13,7,ABC Asahi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
360,Mysteria Friends,10,"L'académie Manaria est une prestigieuse école qui enseigne la magie sans discrimination aux trois factions qui, par ailleurs, se livrent bataille dans ce monde : …",https://www.crunchyroll.com/fr/mysteria-friends,3.5,30,13,7,12,7,"Happinet Co., Ltd.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
361,Nameko-ke no Ichizoku,19,"Bienvenue chez Nameko ! Dans cette drôle de famille, tout le monde ressemble à un champignon. Chaque jour, on rit, on se dispute, mais surtout, on se retrouve tou…",https://www.crunchyroll.com/fr/the-nameko-families,4.0,4,2,2,0,1,Furyu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
362,NANBAKA,26,"Quatre hommes sont transférés à Nanba, la prison réputée la plus sécurisée au monde. Jûgo n’a aucun souvenir de ses méfaits. Il a déjà cherché à s’évader et a éco…",https://www.crunchyroll.com/fr/nanbaka,4.5,90,21,6,4,6,Tokuma Japan Comm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
363,Netsuzô Trap -NTR-,12,Yuma est heureuse car elle apprécie chaque jour qui passe les moments qu’elle partage avec son premier petit ami. Elle demande pourtant quelques conseils à sa mei…,https://www.crunchyroll.com/fr/netsuzou-trap-ntr-,3.0,31,11,10,6,36,DMM Corporation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
364,NEW GAME!,24,"Après avoir terminé ses études secondaires, Aoba Suzukaze ne souhaite qu’une chose : réaliser son rêve et travailler dans l’industrie du divertissement. Quoi de p…",https://www.crunchyroll.com/fr/new-game,4.5,127,40,9,6,2,Kadokawa Pictures Inc.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
365,NIGHT HEAD 2041,12,"Deux frères, Naoto et Naoya Kirihara, ont passé les quinze premières années de leur vie dans un laboratoire où des scientifiques ont tenté de percer à jour leurs …",https://www.crunchyroll.com/fr/night-head-2041,4.0,10,5,1,1,2,Fuji Creative Corporation,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
366,Ninja Collection,13,"Dans une ville pleine de rêves et de désirs, une bande de ninjas transmet aujourd'hui encore les techniques ancestrales du ninjutsu et accomplit des missions à l'…",https://www.crunchyroll.com/fr/ninja-collection,2.5,10,5,1,4,23,TV TOKYO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
367,Ninja Slayer From Animation,26,"La femme et l’enfant de Kenji Fujikido, simple employé de bureau, ont été les victimes collatérales d’une guerre entre des clans de ninjas. Désespéré et à l’artic…",https://www.crunchyroll.com/fr/ninja-slayer-from-animation,4.0,6,3,0,0,3,Mages Inc,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
368,Noblesse,26,"Après 820 ans de sommeil, Raizel se réveille dans la civilisation moderne. Ce vampire détient le titre très spécial de Noblesse, un noble au sang pur protecteur d…",https://www.crunchyroll.com/fr/noblesse,4.0,150,23,16,20,16,WEBTOON,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
369,Nobunaga Concerto,10,"À la suite d'un étrange phénomène, Saburô est projeté dans l'ère Sengoku (une époque située entre le XVe et le XVIe siècle). Il rencontre un jeune homme malade, u…",https://www.crunchyroll.com/fr/nobunaga-concerto,5.0,76,12,1,1,1,Fuji Creative Corporation,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
370,Nobunaga no Shinobi,79,"En 1555, tandis que les royaumes se livrent à des luttes intestines, un homme est porté par un rêve un peu fou : arriver à unifier le Japon par la force. Son nom …",https://www.crunchyroll.com/fr/ninja-girl-samurai-master,4.5,10,4,0,0,0,TV TOKYO,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,Non Non Biyori,24,"Bienvenue à Asahigaoka, un petit village de campagne où Hotaru est venue s’installer avec ses parents, après avoir quitté Tokyo. Ici, l’école ne compte qu’une seu…",https://www.crunchyroll.com/fr/non-non-biyori,5.0,121,13,5,1,2,Media Factory,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
372,Noucome,10,"Kanade Amakusa est soumis au QCM absolu : sans prévenir, des propositions s’offrent à lui et il doit obligatoirement en choisir une. Un jour, un QCM lui propose d…",https://www.crunchyroll.com/fr/my-mental-choices-are-completely-interfering-with-my-school-romantic-comedy,4.5,110,48,21,7,4,Kadokawa Pictures Inc.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
373,Null & Peta,12,"Null a perdu sa grande sœur Peta dans un accident, mais pas d'inquiétude : grâce à son génie, elle est parvenue à lui redonner vie sous la forme d'un robot. Mais…",https://www.crunchyroll.com/fr/null-peta,4.0,7,2,1,2,1,Shin-Ei Doga,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
374,Nyanbo!,52,Les Nyanbo sont des êtres venus du fin fond de l’espace qui vivent cachés dans des endroits où les humains ne vont pas. Ils sont un peu comme des chats : l’esprit…,https://www.crunchyroll.com/fr/nyanbo,4.0,6,6,1,1,0,Shirogumi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
375,Nyanko Days,12,"Yûko est une lycéenne tellement timide que ses seuls amis sont ses trois chats Mu, Ru et Si qu’elle retrouve après les cours. Un jour, elle se lie pourtant d’amit…",https://www.crunchyroll.com/fr/nyanko-days,4.5,24,8,4,2,1,Yomiuri Telecasting Corporation (YTV),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
376,Nyanpire - The Vampire Cat,12,Il était une fois un pauvre petit chaton abandonné. Il avait tellement faim qu’il ne tenait plus debout. Alors que la minuscule étincelle de sa vie allait s’étein…,https://www.crunchyroll.com/fr/nyanpire-the-vampire-cat,3.5,0,1,1,0,0,GONZO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
377,Oda Cinnamon Nobunaga,12,"L'époque Sengoku fut une période de conflits entre les seigneurs de guerre. Oda Nobunaga, le plus grand de tous, renaît aujourd'hui dans le Japon moderne... en Sh…",https://www.crunchyroll.com/fr/oda-cinnamon-nobunaga,4.5,15,1,4,1,0,TV TOKYO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,Oda Nobuna no Yabô,12,Yoshiharu Sagara est un lycéen qui aime jouer au jeu vidéo Nobunaga's Ambition. Il se retrouve tout à coup en pleine bataille durant l'époque Sengoku et sauve la …,https://www.crunchyroll.com/fr/the-ambition-of-oda-nobuna,4.5,106,31,8,2,4,TV TOKYO,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,ODDTAXI,15,"Le chauffeur de taxi Odokawa mène une vie très ordinaire. Il n'a pas de famille, traîne rarement avec les autres et c'est un excentrique borné qui ne parle pas be…",https://www.crunchyroll.com/fr/oddtaxi,5.0,80,8,1,1,0,PONY CANYON INC.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,"Oh, Suddenly Egyptian God",10,"Bienvenue au temps des dieux égyptiens ! C'est ici que les fameuses divinités de l'Égypte ancienne, d'Anubis à Thot, vivent librement leur vie. Libre à quel po…",https://www.crunchyroll.com/fr/oh-suddenly-egyptian-god,4.5,13,3,0,2,0,Frontier Works Inc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,Ojisan to Marshmallow,13,"Les relations au quotidien entre Hide, un monsieur d’un certain âge qui adore les Marshmallows, et Wakabayashi, une jolie secrétaire de son bureau, secrètement am…",https://www.crunchyroll.com/fr/ojisan-and-marshmallow,4.5,30,12,3,1,0,Dream Creation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
382,Onara Goro,13,"Connaissez-vous Goro le pet ? Quand il y a un problème quelque part, il surgit pour trouver une solution. Car ce pet est vraiment gentil... …",https://www.crunchyroll.com/fr/onara-goro,4.0,20,4,2,4,2,KBC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
383,One Piece,1011,Luffy et son équipage naviguent sur les mers à la recherche du légendaire trésor appelé « One Piece » et doivent faire face à de nombreuses aventures. Celui qui s…,https://www.crunchyroll.com/fr/one-piece,4.5,1725,99,54,26,54,Toei Animation,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
384,One Room,37,Des histoires ayant comme point commun la pièce où vivent trois étudiantes. …,https://www.crunchyroll.com/fr/oneroom,3.0,24,9,16,13,27,Top Marshal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
385,Onee-chan ga Kita,12,"Après le mariage de son père, Tomoya gagne une nouvelle sœur, Ichika. Mais cette jeune fille de 17 ans est éperdument amoureuse de lui malgré ses 13 ans. Tomoya a…",https://www.crunchyroll.com/fr/onee-chan-ga-kita,4.0,19,14,6,3,3,C2C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
386,Onsen Yôsei Hakone-chan,13,"Toya, lycéen, fait un jour la connaissance de la jolie Hakone, un esprit issu d’une source chaude qui se retrouve sur terre malgré elle. Afin de l’aider à retrouv…",https://www.crunchyroll.com/fr/hakone-chan,3.0,2,6,7,4,2,Asahi Production,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
387,Onyx Equinox,25,"Les dieux sont sur le pied de guerre pour décider de l'avenir de l'humanité. Un jeune garçon aztèque, Izel, se retrouve pris dans leur jeu dangereux. Afin de sauv…",https://www.crunchyroll.com/fr/onyx-equinox,4.0,212,45,25,29,46,Crunchyroll Studios,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,Ooya-san wa Shishunki!,12,"Chie Satonaka est une collégienne enjouée, mais elle est aussi logeuse. Derrière ses allures de petite fille, elle travaille comme une adulte, s’occupant du ménag…",https://www.crunchyroll.com/fr/ooya-san-wa-shishunki,4.5,12,11,1,0,0,DAX,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
389,Orange,26,"Un matin, alors qu’elle se rend au lycée, Naho reçoit une drôle de lettre… une lettre du futur ! La jeune femme qu’elle est devenue dix ans plus tard, rongée par …",https://www.crunchyroll.com/fr/orange,4.5,239,45,23,6,9,Toho,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
390,"Ore, Twin-Tail ni Narimasu",12,"Soji Mitsuka est un lycéen normal. Normal… à ceci près qu’il est aussi Tailred, une farouche guerrière à couettes qui lutte contre les Elemelians, des extraterres…",https://www.crunchyroll.com/fr/gonna-be-the-twin-tail,3.5,10,6,1,4,3,Fuji Creative Corporation,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
391,Orenchi no Furo Jijo,13,"La baignoire de Tatsumi est un peu particulière : il y vit une sirène qu'il a recueillie. Sirène elle-même un peu particulière puisqu'il s'agit d'une sirène mâle,…",https://www.crunchyroll.com/fr/orenchi-no-furo-jijo,4.5,64,31,6,6,1,Asahi Production,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
