,title,nb_videos,short_desc,url,mean_stars,five_stars,four_stars,three_stars,two_stars,one_star,editor,action,adventure,comedy,drama,fantasy,harem,historical,idols,isekai,magical_girls,mecha,music,mystery,post_apocalyptic,romance,sci_fi,seinen,shojo,shonen,slice_of_life,sports,supernatural,thriller
56,Berserk,27,"Guts, le guerrier noir, promène son imposante silhouette de routes en villages. Sur son passage, les cadavres s’amoncellent. Il porte sur son dos une épée aussi h…",https://www.crunchyroll.com/fr/berserk,3.5,229,97,50,55,120,NBC Universal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
57,Between the Sky and Sea,12,"Dans le futur, les poissons ont disparu des océans et seules des baleines ont réussi à survivre. Le Ministère de la Pêche a mis en place un programme spécial en c…",https://www.crunchyroll.com/fr/between-the-sky-and-sea,2.5,8,2,4,4,15,"TMS Entertainment Co., Ltd.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
58,BIG ORDER,10,"Il y a dix ans, un grand cataclysme a anéanti l'ancien monde. Depuis, des êtres dotés d'un pouvoir spécial leur permettant de réaliser leur souhait sont apparus. …",https://www.crunchyroll.com/fr/big-order,2.5,14,13,27,19,45,Kadokawa Pictures Inc.,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
59,Binan Kôkô Chikyû Bôei-bu Love!,37,"Au lycée Binan existe un club de défense de la Terre où ses membres ne font pas grand-chose, jusqu'au jour où un wombat rose débarque et insiste lourdement pour q…",https://www.crunchyroll.com/fr/cute-high-earth-defense-club-love,4.5,67,25,8,6,4,TV TOKYO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,Black Clover,171,"Dans un monde régi par la magie, Yuno et Asta ont grandi ensemble avec un seul but en tête : devenir le prochain Empereur-Mage du royaume de Clover. Mais si le pr…",https://www.crunchyroll.com/fr/black-clover,4.0,1877,396,175,191,352,TV TOKYO,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,Black Clover (International Dubs),170,"In a world where magic is everything, Asta and Yuno are both found abandoned at a church on the same day. While Yuno is gifted with exceptional magical powers, As…",https://www.crunchyroll.com/fr/black-clover-international-dubs,5.0,41,1,1,0,0,TV TOKYO,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,Blade and Soul,13,"Alka est une épéiste à la recherche de l’assassin de son maître, froidement tué par Jin Varrel, une combattante sans merci. Lors de son voyage, Alka va faire la r…",https://www.crunchyroll.com/fr/blade-and-soul,3.0,29,25,30,34,25,Dentsu Tec,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Blade Runner: Black Lotus,13,"Los Angeles, 2032. Une jeune femme se réveille sans aucun souvenir, si ce n’est posséder des compétences à se battre et à tuer. Ses seuls indices sont un appareil…",https://www.crunchyroll.com/fr/blade-runner-black-lotus,3.5,14,4,2,1,7,"Alcon Entertainment, LLC",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Bleach,151,"Adolescent de quinze ans, Ichigo Kurosaki possède un don particulier : celui de voir les esprits. Un jour, il croise la route d'une belle Shinigami (un être spiri…",https://www.crunchyroll.com/fr/bleach,5.0,21661,1468,377,102,391,TV TOKYO,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Bloodivores,12,"Il y a 60 ans, une étrange insomnie a frappé la population. Un médicament a été trouvé, mais il a transformé les patients en vampires. Surnommés les Bloodivores, …",https://www.crunchyroll.com/fr/bloodivores,2.5,14,18,14,12,53,EMON,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
